attribute_name,group,description
card.pan.raw,card,Card attribute 'pan' with derivation 'raw'
card.pan.normalized,card,Card attribute 'pan' with derivation 'normalized'
card.pan.zscore,card,Card attribute 'pan' with derivation 'zscore'
card.pan.min_last_10,card,Card attribute 'pan' with derivation 'min_last_10'
card.pan.max_last_10,card,Card attribute 'pan' with derivation 'max_last_10'
card.pan.avg_last_10,card,Card attribute 'pan' with derivation 'avg_last_10'
card.pan.sum_last_10,card,Card attribute 'pan' with derivation 'sum_last_10'
card.pan.stddev_last_10,card,Card attribute 'pan' with derivation 'stddev_last_10'
card.pan.last_seen,card,Card attribute 'pan' with derivation 'last_seen'
card.pan.count_last_1h,card,Card attribute 'pan' with derivation 'count_last_1h'
card.pan.count_last_24h,card,Card attribute 'pan' with derivation 'count_last_24h'
card.pan.count_last_7d,card,Card attribute 'pan' with derivation 'count_last_7d'
card.pan.count_last_30d,card,Card attribute 'pan' with derivation 'count_last_30d'
card.pan.flag_anomaly,card,Card attribute 'pan' with derivation 'flag_anomaly'
card.pan.rolling_avg_1h,card,Card attribute 'pan' with derivation 'rolling_avg_1h'
card.pan.rolling_avg_24h,card,Card attribute 'pan' with derivation 'rolling_avg_24h'
card.pan.velocity_flag,card,Card attribute 'pan' with derivation 'velocity_flag'
card.pan.trend_up,card,Card attribute 'pan' with derivation 'trend_up'
card.pan.trend_down,card,Card attribute 'pan' with derivation 'trend_down'
card.pan.missing_flag,card,Card attribute 'pan' with derivation 'missing_flag'
card.bin.raw,card,Card attribute 'bin' with derivation 'raw'
card.bin.normalized,card,Card attribute 'bin' with derivation 'normalized'
card.bin.zscore,card,Card attribute 'bin' with derivation 'zscore'
card.bin.min_last_10,card,Card attribute 'bin' with derivation 'min_last_10'
card.bin.max_last_10,card,Card attribute 'bin' with derivation 'max_last_10'
card.bin.avg_last_10,card,Card attribute 'bin' with derivation 'avg_last_10'
card.bin.sum_last_10,card,Card attribute 'bin' with derivation 'sum_last_10'
card.bin.stddev_last_10,card,Card attribute 'bin' with derivation 'stddev_last_10'
card.bin.last_seen,card,Card attribute 'bin' with derivation 'last_seen'
card.bin.count_last_1h,card,Card attribute 'bin' with derivation 'count_last_1h'
card.bin.count_last_24h,card,Card attribute 'bin' with derivation 'count_last_24h'
card.bin.count_last_7d,card,Card attribute 'bin' with derivation 'count_last_7d'
card.bin.count_last_30d,card,Card attribute 'bin' with derivation 'count_last_30d'
card.bin.flag_anomaly,card,Card attribute 'bin' with derivation 'flag_anomaly'
card.bin.rolling_avg_1h,card,Card attribute 'bin' with derivation 'rolling_avg_1h'
card.bin.rolling_avg_24h,card,Card attribute 'bin' with derivation 'rolling_avg_24h'
card.bin.velocity_flag,card,Card attribute 'bin' with derivation 'velocity_flag'
card.bin.trend_up,card,Card attribute 'bin' with derivation 'trend_up'
card.bin.trend_down,card,Card attribute 'bin' with derivation 'trend_down'
card.bin.missing_flag,card,Card attribute 'bin' with derivation 'missing_flag'
card.bin_country.raw,card,Card attribute 'bin_country' with derivation 'raw'
card.bin_country.normalized,card,Card attribute 'bin_country' with derivation 'normalized'
card.bin_country.zscore,card,Card attribute 'bin_country' with derivation 'zscore'
card.bin_country.min_last_10,card,Card attribute 'bin_country' with derivation 'min_last_10'
card.bin_country.max_last_10,card,Card attribute 'bin_country' with derivation 'max_last_10'
card.bin_country.avg_last_10,card,Card attribute 'bin_country' with derivation 'avg_last_10'
card.bin_country.sum_last_10,card,Card attribute 'bin_country' with derivation 'sum_last_10'
card.bin_country.stddev_last_10,card,Card attribute 'bin_country' with derivation 'stddev_last_10'
card.bin_country.last_seen,card,Card attribute 'bin_country' with derivation 'last_seen'
card.bin_country.count_last_1h,card,Card attribute 'bin_country' with derivation 'count_last_1h'
card.bin_country.count_last_24h,card,Card attribute 'bin_country' with derivation 'count_last_24h'
card.bin_country.count_last_7d,card,Card attribute 'bin_country' with derivation 'count_last_7d'
card.bin_country.count_last_30d,card,Card attribute 'bin_country' with derivation 'count_last_30d'
card.bin_country.flag_anomaly,card,Card attribute 'bin_country' with derivation 'flag_anomaly'
card.bin_country.rolling_avg_1h,card,Card attribute 'bin_country' with derivation 'rolling_avg_1h'
card.bin_country.rolling_avg_24h,card,Card attribute 'bin_country' with derivation 'rolling_avg_24h'
card.bin_country.velocity_flag,card,Card attribute 'bin_country' with derivation 'velocity_flag'
card.bin_country.trend_up,card,Card attribute 'bin_country' with derivation 'trend_up'
card.bin_country.trend_down,card,Card attribute 'bin_country' with derivation 'trend_down'
card.bin_country.missing_flag,card,Card attribute 'bin_country' with derivation 'missing_flag'
card.bin_region.raw,card,Card attribute 'bin_region' with derivation 'raw'
card.bin_region.normalized,card,Card attribute 'bin_region' with derivation 'normalized'
card.bin_region.zscore,card,Card attribute 'bin_region' with derivation 'zscore'
card.bin_region.min_last_10,card,Card attribute 'bin_region' with derivation 'min_last_10'
card.bin_region.max_last_10,card,Card attribute 'bin_region' with derivation 'max_last_10'
card.bin_region.avg_last_10,card,Card attribute 'bin_region' with derivation 'avg_last_10'
card.bin_region.sum_last_10,card,Card attribute 'bin_region' with derivation 'sum_last_10'
card.bin_region.stddev_last_10,card,Card attribute 'bin_region' with derivation 'stddev_last_10'
card.bin_region.last_seen,card,Card attribute 'bin_region' with derivation 'last_seen'
card.bin_region.count_last_1h,card,Card attribute 'bin_region' with derivation 'count_last_1h'
card.bin_region.count_last_24h,card,Card attribute 'bin_region' with derivation 'count_last_24h'
card.bin_region.count_last_7d,card,Card attribute 'bin_region' with derivation 'count_last_7d'
card.bin_region.count_last_30d,card,Card attribute 'bin_region' with derivation 'count_last_30d'
card.bin_region.flag_anomaly,card,Card attribute 'bin_region' with derivation 'flag_anomaly'
card.bin_region.rolling_avg_1h,card,Card attribute 'bin_region' with derivation 'rolling_avg_1h'
card.bin_region.rolling_avg_24h,card,Card attribute 'bin_region' with derivation 'rolling_avg_24h'
card.bin_region.velocity_flag,card,Card attribute 'bin_region' with derivation 'velocity_flag'
card.bin_region.trend_up,card,Card attribute 'bin_region' with derivation 'trend_up'
card.bin_region.trend_down,card,Card attribute 'bin_region' with derivation 'trend_down'
card.bin_region.missing_flag,card,Card attribute 'bin_region' with derivation 'missing_flag'
card.product_type.raw,card,Card attribute 'product_type' with derivation 'raw'
card.product_type.normalized,card,Card attribute 'product_type' with derivation 'normalized'
card.product_type.zscore,card,Card attribute 'product_type' with derivation 'zscore'
card.product_type.min_last_10,card,Card attribute 'product_type' with derivation 'min_last_10'
card.product_type.max_last_10,card,Card attribute 'product_type' with derivation 'max_last_10'
card.product_type.avg_last_10,card,Card attribute 'product_type' with derivation 'avg_last_10'
card.product_type.sum_last_10,card,Card attribute 'product_type' with derivation 'sum_last_10'
card.product_type.stddev_last_10,card,Card attribute 'product_type' with derivation 'stddev_last_10'
card.product_type.last_seen,card,Card attribute 'product_type' with derivation 'last_seen'
card.product_type.count_last_1h,card,Card attribute 'product_type' with derivation 'count_last_1h'
card.product_type.count_last_24h,card,Card attribute 'product_type' with derivation 'count_last_24h'
card.product_type.count_last_7d,card,Card attribute 'product_type' with derivation 'count_last_7d'
card.product_type.count_last_30d,card,Card attribute 'product_type' with derivation 'count_last_30d'
card.product_type.flag_anomaly,card,Card attribute 'product_type' with derivation 'flag_anomaly'
card.product_type.rolling_avg_1h,card,Card attribute 'product_type' with derivation 'rolling_avg_1h'
card.product_type.rolling_avg_24h,card,Card attribute 'product_type' with derivation 'rolling_avg_24h'
card.product_type.velocity_flag,card,Card attribute 'product_type' with derivation 'velocity_flag'
card.product_type.trend_up,card,Card attribute 'product_type' with derivation 'trend_up'
card.product_type.trend_down,card,Card attribute 'product_type' with derivation 'trend_down'
card.product_type.missing_flag,card,Card attribute 'product_type' with derivation 'missing_flag'
card.issuer_id.raw,card,Card attribute 'issuer_id' with derivation 'raw'
card.issuer_id.normalized,card,Card attribute 'issuer_id' with derivation 'normalized'
card.issuer_id.zscore,card,Card attribute 'issuer_id' with derivation 'zscore'
card.issuer_id.min_last_10,card,Card attribute 'issuer_id' with derivation 'min_last_10'
card.issuer_id.max_last_10,card,Card attribute 'issuer_id' with derivation 'max_last_10'
