attribute_name,group,description
borrower_id_1,borrower,"Id attribute for borrower, instance 1."
borrower_first_name_1,borrower,"First Name attribute for borrower, instance 1."
borrower_last_name_1,borrower,"Last Name attribute for borrower, instance 1."
borrower_date_of_birth_1,borrower,"Date Of Birth attribute for borrower, instance 1."
borrower_ssn_1,borrower,"Ssn attribute for borrower, instance 1."
borrower_employment_status_1,borrower,"Employment Status attribute for borrower, instance 1."
borrower_annual_income_1,borrower,"Annual Income attribute for borrower, instance 1."
borrower_credit_score_1,borrower,"Credit Score attribute for borrower, instance 1."
borrower_marital_status_1,borrower,"Marital Status attribute for borrower, instance 1."
borrower_number_of_dependents_1,borrower,"Number Of Dependents attribute for borrower, instance 1."
borrower_residency_status_1,borrower,"Residency Status attribute for borrower, instance 1."
loan_id_1,loan,"Id attribute for loan, instance 1."
loan_type_1,loan,"Type attribute for loan, instance 1."
loan_amount_1,loan,"Amount attribute for loan, instance 1."
loan_term_years_1,loan,"Term Years attribute for loan, instance 1."
loan_interest_rate_1,loan,"Interest Rate attribute for loan, instance 1."
loan_origination_date_1,loan,"Origination Date attribute for loan, instance 1."
loan_maturity_date_1,loan,"Maturity Date attribute for loan, instance 1."
loan_status_1,loan,"Status attribute for loan, instance 1."
loan_ltv_ratio_1,loan,"Ltv Ratio attribute for loan, instance 1."
loan_dti_ratio_1,loan,"Dti Ratio attribute for loan, instance 1."
loan_amortization_type_1,loan,"Amortization Type attribute for loan, instance 1."
property_id_1,property,"Id attribute for property, instance 1."
property_address_line1_1,property,"Address Line1 attribute for property, instance 1."
property_address_line2_1,property,"Address Line2 attribute for property, instance 1."
property_city_1,property,"City attribute for property, instance 1."
property_state_1,property,"State attribute for property, instance 1."
property_postal_code_1,property,"Postal Code attribute for property, instance 1."
property_country_1,property,"Country attribute for property, instance 1."
property_property_type_1,property,"Property Type attribute for property, instance 1."
property_year_built_1,property,"Year Built attribute for property, instance 1."
property_purchase_price_1,property,"Purchase Price attribute for property, instance 1."
property_appraised_value_1,property,"Appraised Value attribute for property, instance 1."
property_square_feet_1,property,"Square Feet attribute for property, instance 1."
property_lot_size_1,property,"Lot Size attribute for property, instance 1."
property_num_bedrooms_1,property,"Num Bedrooms attribute for property, instance 1."
property_num_bathrooms_1,property,"Num Bathrooms attribute for property, instance 1."
payment_id_1,payment,"Id attribute for payment, instance 1."
payment_due_date_1,payment,"Due Date attribute for payment, instance 1."
payment_amount_due_1,payment,"Amount Due attribute for payment, instance 1."
payment_amount_paid_1,payment,"Amount Paid attribute for payment, instance 1."
payment_payment_date_1,payment,"Payment Date attribute for payment, instance 1."
payment_payment_method_1,payment,"Payment Method attribute for payment, instance 1."
payment_status_1,payment,"Status attribute for payment, instance 1."
payment_late_fee_1,payment,"Late Fee attribute for payment, instance 1."
payment_escrow_amount_1,payment,"Escrow Amount attribute for payment, instance 1."
escrow_id_1,escrow,"Id attribute for escrow, instance 1."
escrow_type_1,escrow,"Type attribute for escrow, instance 1."
escrow_balance_1,escrow,"Balance attribute for escrow, instance 1."
escrow_taxes_due_1,escrow,"Taxes Due attribute for escrow, instance 1."
escrow_insurance_due_1,escrow,"Insurance Due attribute for escrow, instance 1."
escrow_last_payment_date_1,escrow,"Last Payment Date attribute for escrow, instance 1."
escrow_next_payment_due_1,escrow,"Next Payment Due attribute for escrow, instance 1."
regulatory_hmda_reporting_flag_1,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 1."
regulatory_compliance_status_1,regulatory,"Compliance Status attribute for regulatory, instance 1."
regulatory_regulator_notes_1,regulatory,"Regulator Notes attribute for regulatory, instance 1."
regulatory_fair_lending_score_1,regulatory,"Fair Lending Score attribute for regulatory, instance 1."
regulatory_audit_status_1,regulatory,"Audit Status attribute for regulatory, instance 1."
borrower_id_2,borrower,"Id attribute for borrower, instance 2."
borrower_first_name_2,borrower,"First Name attribute for borrower, instance 2."
borrower_last_name_2,borrower,"Last Name attribute for borrower, instance 2."
borrower_date_of_birth_2,borrower,"Date Of Birth attribute for borrower, instance 2."
borrower_ssn_2,borrower,"Ssn attribute for borrower, instance 2."
borrower_employment_status_2,borrower,"Employment Status attribute for borrower, instance 2."
borrower_annual_income_2,borrower,"Annual Income attribute for borrower, instance 2."
borrower_credit_score_2,borrower,"Credit Score attribute for borrower, instance 2."
borrower_marital_status_2,borrower,"Marital Status attribute for borrower, instance 2."
borrower_number_of_dependents_2,borrower,"Number Of Dependents attribute for borrower, instance 2."
borrower_residency_status_2,borrower,"Residency Status attribute for borrower, instance 2."
loan_id_2,loan,"Id attribute for loan, instance 2."
loan_type_2,loan,"Type attribute for loan, instance 2."
loan_amount_2,loan,"Amount attribute for loan, instance 2."
loan_term_years_2,loan,"Term Years attribute for loan, instance 2."
loan_interest_rate_2,loan,"Interest Rate attribute for loan, instance 2."
loan_origination_date_2,loan,"Origination Date attribute for loan, instance 2."
loan_maturity_date_2,loan,"Maturity Date attribute for loan, instance 2."
loan_status_2,loan,"Status attribute for loan, instance 2."
loan_ltv_ratio_2,loan,"Ltv Ratio attribute for loan, instance 2."
loan_dti_ratio_2,loan,"Dti Ratio attribute for loan, instance 2."
loan_amortization_type_2,loan,"Amortization Type attribute for loan, instance 2."
property_id_2,property,"Id attribute for property, instance 2."
property_address_line1_2,property,"Address Line1 attribute for property, instance 2."
property_address_line2_2,property,"Address Line2 attribute for property, instance 2."
property_city_2,property,"City attribute for property, instance 2."
property_state_2,property,"State attribute for property, instance 2."
property_postal_code_2,property,"Postal Code attribute for property, instance 2."
property_country_2,property,"Country attribute for property, instance 2."
property_property_type_2,property,"Property Type attribute for property, instance 2."
property_year_built_2,property,"Year Built attribute for property, instance 2."
property_purchase_price_2,property,"Purchase Price attribute for property, instance 2."
property_appraised_value_2,property,"Appraised Value attribute for property, instance 2."
property_square_feet_2,property,"Square Feet attribute for property, instance 2."
property_lot_size_2,property,"Lot Size attribute for property, instance 2."
property_num_bedrooms_2,property,"Num Bedrooms attribute for property, instance 2."
property_num_bathrooms_2,property,"Num Bathrooms attribute for property, instance 2."
payment_id_2,payment,"Id attribute for payment, instance 2."
payment_due_date_2,payment,"Due Date attribute for payment, instance 2."
payment_amount_due_2,payment,"Amount Due attribute for payment, instance 2."
payment_amount_paid_2,payment,"Amount Paid attribute for payment, instance 2."
payment_payment_date_2,payment,"Payment Date attribute for payment, instance 2."
payment_payment_method_2,payment,"Payment Method attribute for payment, instance 2."
payment_status_2,payment,"Status attribute for payment, instance 2."
payment_late_fee_2,payment,"Late Fee attribute for payment, instance 2."
payment_escrow_amount_2,payment,"Escrow Amount attribute for payment, instance 2."
escrow_id_2,escrow,"Id attribute for escrow, instance 2."
escrow_type_2,escrow,"Type attribute for escrow, instance 2."
escrow_balance_2,escrow,"Balance attribute for escrow, instance 2."
escrow_taxes_due_2,escrow,"Taxes Due attribute for escrow, instance 2."
escrow_insurance_due_2,escrow,"Insurance Due attribute for escrow, instance 2."
escrow_last_payment_date_2,escrow,"Last Payment Date attribute for escrow, instance 2."
escrow_next_payment_due_2,escrow,"Next Payment Due attribute for escrow, instance 2."
regulatory_hmda_reporting_flag_2,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 2."
regulatory_compliance_status_2,regulatory,"Compliance Status attribute for regulatory, instance 2."
regulatory_regulator_notes_2,regulatory,"Regulator Notes attribute for regulatory, instance 2."
regulatory_fair_lending_score_2,regulatory,"Fair Lending Score attribute for regulatory, instance 2."
regulatory_audit_status_2,regulatory,"Audit Status attribute for regulatory, instance 2."
